Property Name,Property Type,Property Tag,Title,Complex Name,Address,Latitude,Longitude,Pincode,Super Area (sqft),Area per Square (Rs/Sqft),Price (lakh),Owner Type,Owner Name,Age of Construction,Floor,Facing,District,State
,Residential,Sale,3 BHK Owner Residential House,"St Nagar Burari, Burari","Sant Nagar Burari, New Delhi - North, Delhi NCR
",28.7432196,77.1977785,110084,,"16,667",150,Owner,Philo Thomas,Above 20 years,"Ground (Out of 1 Floors)
",,North Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Chhawla,"Somesh Vihar Chhawla, Chhawla, New Delhi - West, Delhi NCR
",28.55658,77.0147039999999,110071,100,"10,000",90,Owner,Nripendra Tiwari,New Construction,"Ground (Out of 1 Floors)
",,South West Delhi,Delhi
,Residential,Sale,4 BHKResidential House,Rakkiyapalayam Pirivu,"Near Century foundation School, New Delhi, Delhi NCR
",28.6139391,77.2090212,110011,,,150,Owner,Vijayakumar Subramanian,,"2 (Out of 2 Floors)
",,New Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Kalyanpuri,"Block-16, House No-171, Kalyanpuri, New Delhi - East, Delhi NCR
",28.6181205,77.3137651999999,110091,225,"20,000",45,Owner,Rahul Kohli,Less than 5 years,"1 (Out of 2 Floors)
",,East Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,"Paschimpuri, Paschim Vihar","563, Paschimpuri, New Delhi - West, Delhi NCR
",28.6637593,77.1154368,110063,500,"30,000",150,Owner,Pradeep Sagar,10 to 15 years,"Upper Basement (Out of 5 Floors)
",,West Delhi,Delhi
,Residential,Sale,2 BHKResidential House,"Chattarpur, New Delhi","Rajpura Extension, New Delhi, Delhi NCR
",28.4873983,77.1902121999999,110068,65,"9,402",55,Owner,Suraj Verma,10 to 15 years,"Ground (Out of 1 Floors)
",,South Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,"Gandhi Nagar, Shahdara","chand Mohalla Gandhi nagar, Gandhi Nagar, New Delhi - North, Delhi NCR
",28.6629672,77.2681728,110031,63,"2,69,842",170,Owner,Y K Sharma,10 to 15 years,"Ground (Out of 3 Floors)
",,East Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Ushagram,"271 rajendra park extn. Nangloi delhi, Ushagram, New Delhi, Delhi NCR
",28.6811724,77.0546473999999,110041,1194,"3,769",45,Owner,surender,15 to 20 years,"1 (Out of 3 Floors)
",,West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,"Nathan Vihar, Ranhola","hn 3 nathan vihar nangloi, Nathan Vihar, New Delhi - West, Delhi NCR
",28.6539481,77.0434934,110041,303,"6,601",20,Owner,paramjeet singh,5 to 10 years,"1 (Out of 1 Floors)
",,West Delhi,Delhi
,Residential,Sale,10 BHK Owner Residential House,Mansa Ram Park,"Mansa Ram Park, New Delhi - West, Delhi NCR
",28.6164158,77.0406146999999,110059,2250,"4,889",110,Owner,Nupesh,10 to 15 years,"3 (Out of 3 Floors)
",,South West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,"Yamuna Vihar, Shahdara","Yamuna Vihar, New Delhi - North, Delhi NCR
",28.7009403,77.2721047,110053,900,"27,778",250,Owner,Basanti,,,,North East Delhi,Delhi
,Residential,Sale,> 10 BHK Residential House - 9000 Sq-ft,"DDA Ashok Vihar 1,Ashok Vihar Phase 1","Ashok Vihar Phase 1, New Delhi - North, Delhi NCR
",28.6918279,77.1677924,110052,9000,"21,667",1950,Owner,Sanjay jain,,"3 (Out of 3 Floors)
",North - West,North West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Najafgarh,"Najafgarh, New Delhi - West, Delhi NCR
",28.6090126,76.9854526,110043,50,"6,667",30,Owner,dharmender,,"1 (Out of 1 Floors)
",,South West Delhi,Delhi
,Residential,Sale,2 BHKResidential House,Chandannagar,"New Delhi, Delhi NCR
",28.6139391,77.2090212,110011,1244,"4,823",60,Owner,Pronab Kumar Patra,,"1 (Out of 1 Floors)
",,New Delhi,Delhi
,Residential,Sale,1 BHK Owner Residential House,Dakshinpuri,"Dakshinpuri, New Delhi - South, Delhi NCR
",28.5226518,77.2389699999999,110062,225,"6,667",15,Owner,Vipin Sukheja,10 to 15 years,"3 (Out of 4 Floors)
",,South East Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Budh Vihar Phase 2,"Budh Vihar Phase 2, New Delhi - North, Delhi NCR
",28.7185655,77.0895421,110086,50,"1,24,000",62,Owner,Sandeep Rathee rathi,Less than 5 years,"Ground (Out of 3 Floors)
",,North West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Lajpat Nagar 2,"Kasturba Niketan Complex, Lajpat Nagar 2, New Delhi - South, Delhi NCR
",28.571167,77.2451851999999,110024,618,"22,654",140,Owner,KAUSHAL SACHDEVA,10 to 15 years,"1 (Out of 2 Floors)
",,South East Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"Khari Baoli, Chandni Chowk","Khari Baoli, New Delhi - Central, Delhi NCR
",28.6569775,77.2232353999999,110006,500,"50,000",250,Owner,Sonu,Above 20 years,"Ground (Out of 5 Floors)
",,Central Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"Thakkar Bapa Nagar, Karol Bagh","H. no. -16/440, block-E, Baba nagar, padam singh road, Karol bagh, New Delhi -110005, Thakkar Bapa Nagar, New Delhi - Central, Delhi NCR
",28.652453,77.1827301,110005,100,"33,333",300,Owner,deepak,Above 20 years,"2 (Out of 2 Floors)
",,Central Delhi,Delhi
,Residential,Sale,6 BHKResidential House,Nagaram-Dammaiguda,"Nagaram - Dammaiguda, Secunderabad, New Delhi, Delhi NCR
",28.6428915,77.2190894,110006,5250,"3,142",165,Owner,Yogeeswara Rao,Less than 5 years,"2 (Out of 2 Floors)
",,Central Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Connaught Place,"23 hanuman road, Connaught Place, New Delhi - Central, Delhi NCR
",28.6283724,77.2135856,110001,,"29,545",325,Owner,Kajal,15 to 20 years,"1 (Out of 2 Floors)
",,New Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,Adarsh Nagar,"cblock near community centre..majlis park jab aap aayenge give me a watsapp call on this number, Adarsh Nagar, New Delhi - North, Delhi NCR
",28.7185038,77.1800401999999,110009,1000,"32,500",325,Owner,Mitesh gulati,10 to 15 years,"3 (Out of 3 Floors)
",,North Delhi,Delhi
,Residential,Sale,8 BHK Owner Residential House,"Sarai Jullena, New Friends Colony","House No. 17, Sarai Jullena, New Delhi - South, Delhi NCR
",28.5600993,77.27163,110025,200,"40,000",80,Owner,Giri,10 to 15 years,"Ground (Out of 4 Floors)
",,South East Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"Kundan Nagar, Laxmi Nagar","Kundan Nagar, Kundan Nagar, New Delhi - East, Delhi NCR
",28.6422826,77.276792,110092,1050,"1,150",130,Owner,RAJ KUMAR,15 to 20 years,"2 (Out of 2 Floors)
",,East Delhi,Delhi
Almaz Consutant,Residential,Sale,3 BHK Residential House - 170 Sq-yrd,Nangloi,"Kavita colony nangloi Delhi, Nangloi, New Delhi - West, Delhi NCR
",28.6854273,77.063462,110041,170,"50,000",85,Agent,Rabia,10 to 15 years,"1 (Out of 2 Floors)
",,West Delhi,Delhi
Growth Housing,Residential,Sale,2 BHK Residential House - 1000 Sq-ft,"Mahaveer Nagar, South Extension","mahaveer nagar, Mahaveer Nagar, New Delhi - West, Delhi NCR
",28.6342693,77.0845064,110018,1000,"4,956",49.6,Agent,Simran Kaur,Less than 5 years,"1 (Out of 3 Floors)
",,West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Shastri Nagar Block B,"block b shastri nagar, Shastri Nagar Block B, New Delhi - North, Delhi NCR
",28.6749206,77.1794302,110052,563,"37,744",212,Owner,Minku Soni,10 to 15 years,"1 (Out of 1 Floors)
",,Central Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"St Nagar Burari, Burari","Sant Nagar Burari, New Delhi - North, Delhi NCR
",28.7432196,77.1977785,110084,127,"76,990",880,Owner,Sushil Kumar,,"1 (Out of 1 Floors)
",,North Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"Multani Dhanda, Paharganj","9853/6, 3rd floor Multani dhanda pahar ganj New Delhi, Multani Dhanda, New Delhi - Central, Delhi NCR
",28.6459949,77.2111965999999,110055,85,"37,647",32,Owner,Neeraj Arora,10 to 15 years,"3 (Out of 3 Floors)
",,Central Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"Begampur Extension, Begumpur","begumpur opp begumpur police station rohini delhi 86, Begampur Extension, New Delhi - Rohini, Delhi NCR
",28.7221465,77.0725223,110086,120,"4,352",47,Owner,Rakesh,10 to 15 years,"Ground (Out of 1 Floors)
",,North West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Awadh Puri,"h.no. 10 Vivek Bihar kalwari agra, Awadh Puri, Agra, Uttar Pradesh
",28.6712458,77.3176541,110095,1800,"3,333",60,Owner,premlesh pal,,"1 (Out of 1 Floors)
",,Shahdara,Delhi
,Residential,Sale,2 BHK Owner Residential House,"Uttam Nagar East, Uttam Nagar","Vikash Nagar, Near Pradhan Chowk, Near- MLA Office, Uttam Nagar East, New Delhi - West, Delhi NCR
",28.6237994,77.0653289,110059,1350,"3,630",49,Owner,Bipin bihari singh,5 to 10 years,"3 (Out of 3 Floors)
",,West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Uttam Nagar West,"Uttam Nagar West, Uttam Nagar West, New Delhi - West, Delhi NCR
",28.6217542,77.0558111,110059,60,"12,907",69.7,Owner,Naveen Jain,5 to 10 years,"Ground (Out of 2 Floors)
",,South West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,"Bihari Colony, Shahdara","4/2834 a street no2a bihari colony shahdara, Bihari Colony, New Delhi - North, Delhi NCR
",28.670459,77.2828969,110032,500,"15,600",78,Owner,Manish arora,10 to 15 years,"2 (Out of 2 Floors)
",,East Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"St Nagar Burari, Burari","Sant Nagar Burari, New Delhi - North, Delhi NCR
",28.7432196,77.1977785,110084,100,"7,222",65,Owner,Pankaj Upadhyay,5 to 10 years,"Ground (Out of 1 Floors)
",,North Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Najafgarh,"near krishna vatika dhansa road, Najafgarh, New Delhi - West, Delhi NCR
",28.6096496,76.9670337,110043,75,"53,333",40,Owner,tinu,New Construction,"2 (Out of 2 Floors)
",,South West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"Sadh Nagar, Palam","House No 430/431 Old no 3 Gali no 2C Kailash Puri, Sadh Nagar, New Delhi - South, Delhi NCR
",28.59911,77.0843235,110045,230,"13,044",30,Owner,Ashraf Hussain,Less than 5 years,"Ground (Out of 3 Floors)
",,South West Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Mundka,"Mundka, New Delhi - West, Delhi NCR
",28.6823144,77.034937,110041,184,"2,536",42,Owner,Manjeet,Less than 5 years,"Ground (Out of 2 Floors)
",,North West Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Laxmi Nagar,"Laxmi Nagar, New Delhi - East, Delhi NCR
",28.6275609,77.2784080999999,110092,2500,"8,000",200,Owner,Dheeraj Sharma,Less than 5 years,"1 (Out of 4 Floors)
",,East Delhi,Delhi
,Residential,Sale,1 BHK Residential House - 600 Sq-ft,"DDA Pocket D1,Mayur vihar phase 3","Mayur Vihar 3, New Delhi, Delhi NCR
",28.6095544,77.3302980999999,110096,600,"6,333",38,Owner,KRISHNA DAS,15 to 20 years,"1 (Out of 2 Floors)
",,East Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,"Uttam Nagar East, Uttam Nagar","near by Arya samaj road gurudwara uttam nagar east, Uttam Nagar East, New Delhi - West, Delhi NCR
",28.6179205,77.0605341999999,110059,212,"5,189",99,Owner,Lalit Mittal,5 to 10 years,"Ground (Out of 4 Floors)
",,South West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Gopal Nagar,"Gajanan residency, Gopal nagar, Gopal Nagar, Amravati, Delhi NCR
",28.6122968,76.9686267,110043,1550,"4,000",62,Owner,Dilip Deshmukh,Less than 5 years,"1 (Out of 1 Floors)
",,South West Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,"Shyam Vihar 1, Najafgarh","Shyam Vihar Phase-1, New Delhi - West, Delhi NCR
",28.5955938,77.0031863,110043,2000,"3,250",65,Owner,Pushkar,,"Ground (Out of 2 Floors)
",,South West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"Durgapuri Extension, Shahdara","Durgapuri Extension, New Delhi - North, Delhi NCR
",28.6916951,77.2936868,110093,225,"6,173",125,Owner,VISHNU SHARMA,,"1 (Out of 3 Floors)
",,Shahdara,Delhi
,Residential,Sale,3 BHK Owner Residential House,Krishna Nagar,"D69/1 new govindpura, street no 3 Krishna Nagar, Krishna Nagar, New Delhi - East, Delhi NCR
",28.6489153,77.2840959,110051,1800,"9,722",175,Owner,Shyam Lal goel,10 to 15 years,"2 (Out of 2 Floors)
",,East Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"Jain Nagar, Rohini","A-8 Opp.Rohini sec.22, Jain Nagar, New Delhi - Rohini, Delhi NCR
",28.717939,77.0639209999999,110086,500,"8,000",40,Owner,Kapil,Less than 5 years,"1 (Out of 1 Floors)
",,North West Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Preet Vihar,"Preet Vihar, New Delhi - East, Delhi NCR
",28.63642,77.2927538,110092,134,"43,532",525,Owner,Rajiv Ahuja,10 to 15 years,"1 (Out of 2 Floors)
",,East Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,Rohini Sector 23,"D-52 mange ram park near Rohini sector 23, Sector 23 Rohini, New Delhi - Rohini, Delhi NCR
",28.7153179,77.0788132999999,110086,500,"9,800",49,Owner,Arsh,10 to 15 years,"3 (Out of 3 Floors)
",,North West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Wagholi Nagar Road,"balorit phata gulmohar park near vasaya food company wagholi, Wagholi Nagar Road, Pune - East, Maharashtra
",28.5572098,77.2127890999999,110049,2000,"3,500",70,Owner,tiyansh Patil,Less than 5 years,"1 (Out of 1 Floors)
",,South East Delhi,Delhi
,Residential,Sale,2 BHKResidential House,Sidedahalli NMH LAYOUT,"New Delhi, Delhi NCR
",28.6139391,77.2090212,110011,600,"9,666",58,Owner,Saida reddy,5 to 10 years,"2 (Out of 2 Floors)
",,New Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,Panchsheel Enclave,"Panchasheel Enclave 270 Yards, Bungalow 6 BHK 16 Cr, Panchsheel Enclave, New Delhi - South, Delhi NCR
",28.5431061,77.2142037,110017,2650,"58,491",1550,Owner,Gaurav Bhardwaj,10 to 15 years,"1 (Out of 3 Floors)
",,South Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Sangam Vihar,"Sangam Vihar, New Delhi - South, Delhi NCR
",28.4991256,77.2382204,110080,295,"5,763",17,Owner,Ashok Kumar,,"2 (Out of 2 Floors)
",,South Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,Poorvi Pitampura,"cp block, Poorvi Pitampura, New Delhi - North, Delhi NCR
",28.7018147999999,77.1424045,110034,,4050000,450,Owner,Rajeev goel,15 to 20 years,"1 (Out of 3 Floors)
",,North West Delhi,Delhi
,Residential,Sale,2 BHK Residential House - 294 Sq-ft,"DDA LIG Flats,Shahdara","Shahdara, New Delhi - North East, Delhi NCR
",28.6893535,77.2919352,110032,294,"8,503",25,Owner,President Saxena,Less than 5 years,,North,North East Delhi,Delhi
,Residential,Sale,1 BHK Residential House - 535 Sq-ft,"DDA LIG Flats,Hari Nagar","cb84b, Hari Nagar, New Delhi - West, Delhi NCR
",28.6248596,77.1108680999999,110064,535,"8,972",48,Owner,Jeff Bozoz Solutions,Above 20 years,"1 (Out of 1 Floors)
",,New Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,"Guru Harikishan Nagar, Paschim Vihar","506., Guru Harikishan Nagar, New Delhi - West, Delhi NCR
",28.6729659,77.0875545999999,110087,6200,"14,516",900,Owner,rajan rajan,Above 20 years,"Lower Basement (Out of 3 Floors)
",,West Delhi,Delhi
,Residential,Sale,2 BHK Residential House - 32 Sq-m,"DDA Flats Pocket O,Dilshad Garden","Dilshad Garden, New Delhi - North East, Delhi NCR
",28.6828082,77.3121354,110095,32,"8,419",29,Owner,Neelansh,,"Ground (Out of 1 Floors)
",,North East Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Nangloi,"Shani Bazar Road, Nangloi, New Delhi - West, Delhi NCR
",28.6655929999999,77.0583247999999,110041,,"9,000",27,Owner,Pankaj,Less than 5 years,"3 (Out of 3 Floors)
",,West Delhi,Delhi
,Residential,Sale,2 BHK Residential House - 900 Sq-ft,"DDA Green Apartments,Paschim Vihar Block A3","21/A Green Apartment, Paschim Vihar Block A3, New Delhi - West, Delhi NCR
",28.669038,77.10343,110063,900,"16,667",150,Owner,Maya,Above 20 years,"Ground (Out of 2 Floors)
",,West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Tilak Nagar,"wz 327talak nagar 80 yard new delhi 18, Tilak Nagar, New Delhi - West, Delhi NCR
",28.636568,77.09648,110018,,"4,988",40,Owner,sachin,New Construction,,,West Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Lajpat Nagar 4,"Lajpat Nagar 4, New Delhi - South, Delhi NCR
",28.5609053,77.2390784,110024,579,"7,772",45,Owner,palka,15 to 20 years,"2 (Out of 3 Floors)
",,South East Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Rohini Sector 22,"Rohini sec. 22, Sector 22 Rohini, New Delhi - Rohini, Delhi NCR
",28.7186469999999,77.0607637,110086,107,"23,364",225,Owner,Achil,5 to 10 years,"1 (Out of 1 Floors)
",,North West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Dwarka Mor,"Dwarka Mor, New Delhi - West, Delhi NCR
",28.6192985,77.0333266,110043,2300,"5,760",132,Owner,Prince,5 to 10 years,"Ground (Out of 2 Floors)
",,West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Laxmi Nagar,"My address AKSHAT MITTAL 87 A JEXT GALINO-1 LAXMI NAGAR DELHI-110092, Laxmi Nagar, New Delhi - East, Delhi NCR
",28.6275609,77.2784080999999,110092,900,"20,000",180,Owner,Akshat Mittal,Above 20 years,,,East Delhi,Delhi
,Residential,Sale,1 BHKResidential House,Mukundpur part-I Delhi,"New Delhi, Delhi NCR
",28.6139391,77.2090212,110011,450,"7,111",32,Owner,GAURAV SINGH,Less than 5 years,"1 (Out of 1 Floors)
",,New Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Sanjay Nagar,"34-A New Friends Colony, Sanjay Nagar, Ghaziabad, Delhi NCR
",28.5674621,77.2691325999999,110025,900,"3,444",31,Owner,Ashish Gilbert,Less than 5 years,"1 (Out of 1 Floors)
",,South East Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Krishna Nagar,"274 Ram Nagar Krishna Nagar Street no 5, Krishna Nagar, New Delhi - East, Delhi NCR
",28.6608428,77.2790766,110051,,"22,455",150,Owner,Akash Jain,10 to 15 years,"Ground (Out of 2 Floors)
",,East Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Virender Nagar,"New Delhi-North, Virender Nagar, New Delhi - West, Delhi NCR
",28.6220136,77.0967620999999,110058,850,"4,706",40,Owner,neha solabnki,Less than 5 years,"Ground (Out of 2 Floors)
",,West Delhi,Delhi
,Residential,Sale,3 BHKResidential House,Ashok Vihar,"Ashok Vihar, Adjoining Ashapuram, 400 meter inside StadiumRoad, Bareilly, Bareilly, Uttar Pradesh
",28.6909791,77.1765238999999,110052,,"3,750",22.5,Owner,Rajeev Kumar,Less than 5 years,"1 (Out of 2 Floors)
",,North West Delhi,Delhi
,Residential,Sale,6 BHK Owner Residential House,"Yamuna Vihar, Shahdara","C-8/220 Yamuna Vihar, Yamuna Vihar, New Delhi - North, Delhi NCR
",28.6833484,77.2899704,110032,,2137500,190,Owner,Sandeep Pandey,5 to 10 years,"Ground (Out of 4 Floors)
",,East Delhi,Delhi
,Residential,Sale,1 BHK Owner Residential House,Rohini Sector 1,"B-694 Sector 1, Avantika, Rohini, Sector 1 Rohini, New Delhi - Rohini, Delhi NCR
",28.703235,77.100352,110085,32,"11,612",40,Owner,Mrs. Babita Bansal,10 to 15 years,"2 (Out of 2 Floors)
",,North West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"Gujranwala Town, Model Town","A-135, Gujranwala Town, part 1 New Delhi - North, Gujranwala Town, New Delhi - North, Delhi NCR
",28.7006576,77.193806,110009,2000,"16,500",330,Owner,Reena Bhanot,New Construction,"2 (Out of 5 Floors)
",,North Delhi,Delhi
,Residential,Sale,4 BHK Residential House - 2000 Sq-ft,"DDA Flats,Dwarka Sector 23","dwarka sec dda flats mahadev apartments, Sector 23 Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5595666,77.0546322999999,110077,2000,"6,250",125,Owner,Ashish koul,5 to 10 years,,East,South West Delhi,Delhi
,Residential,Sale,> 10 BHK Owner Residential House,"Prashant Vihar, Rohini","A-305, Prashant Vihar, Rohini, Sector -14, Prashant Vihar, New Delhi - Rohini, Delhi NCR
",28.712116,77.1350319,110085,122,"91,377",1200,Owner,B K RATHI B.K.Rathi,15 to 20 years,"Ground (Out of 4 Floors)
",,North West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"Paryavaran Complex, Sainik Farm","E - 14/2, paryavaran complex, new delhi -110030., Paryavaran Complex, New Delhi - South, Delhi NCR
",28.514317,77.2017118999999,110030,5000,"4,000",200,Owner,Parul Maheshwari,15 to 20 years,"Ground (Out of 3 Floors)
",,South Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Dakshinpuri,"Dakshinpuri, New Delhi - South, Delhi NCR
",28.5226518,77.2389699999999,110062,1000,"4,800",48,Owner,Anil salwan,10 to 15 years,"1 (Out of 4 Floors)
",,South East Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Rajouri Garden,"Rajouri Garden, New Delhi - West, Delhi NCR
",28.6417002,77.1224529,110027,4500,"12,222",550,Owner,Gupta,10 to 15 years,"2 (Out of 3 Floors)
",,West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Madhu Vihar,"Madhu Vihar, Dwarka Sector 3, Madhu Vihar, New Delhi - West, Delhi NCR
",28.5997343,77.061156,110059,535,"14,953",80,Owner,Rahul Rana,10 to 15 years,"2 (Out of 2 Floors)
",,South West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,New Rajendra Nagar,"Rajinder Nagar, New Rajendra Nagar, New Delhi - Central, Delhi NCR
",28.6349338,77.1792825,110060,1600,"62,500",1000,Owner,Dr Manu Saksena,Above 20 years,"1 (Out of 2 Floors)
",,Central Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,"St Nagar Burari, Burari","Ajit vihar, Sant Nagar Burari, New Delhi - North, Delhi NCR
",28.7583357,77.1944606999999,110084,,"54,000",27,Owner,Sonu Tyagi,Less than 5 years,,,North Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Paschim Vihar,"A496 No. 2nd floor Paschim Vihar Delhi, Paschim Vihar, New Delhi - West, Delhi NCR
",28.6732844999999,77.1002896,110063,810,"11,111",90,Owner,shakir hussain,Less than 5 years,"2 (Out of 4 Floors)
",,West Delhi,Delhi
,Residential,Sale,1 BHK Owner Residential House,Najafgarh,"Najafgarh, New Delhi - West, Delhi NCR
",28.6090126,76.9854526,110043,49,"5,215",23,Owner,Priyank Singh,,"1 (Out of 1 Floors)
",,South West Delhi,Delhi
,Residential,Sale,7 BHK Owner Residential House,Patel Nagar West,"314 West Patel Nagar New Delhi, Patel Nagar West, New Delhi - West, Delhi NCR
",28.647331,77.1650569999999,110008,1800,"50,000",900,Owner,Shashi Kant Gupta,15 to 20 years,"Ground (Out of 3 Floors)
",,Central Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,"Jain Nagar, Rohini","plot no 5, Jain nagar, karala, Jain Nagar, New Delhi - Rohini, Delhi NCR
",28.7334155,77.0533528,110081,100,"4,222",38,Owner,Vinay Sharma,Less than 5 years,"Ground (Out of 1 Floors)
",,North West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,Tughlakabad,"Tughlakabad villageGali no-13Churiya mohallaNear- Durga MandirTughlakabad (Tara Apartment)New Delhi, Tughlakabad, New Delhi - South, Delhi NCR
",28.5221158,77.2607771,110044,1200,"3,333",40,Owner,Deepak Chandrapal,New Construction,"Ground (Out of 3 Floors)
",,South East Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Nangloi,"extension 1, Nangloi, New Delhi - West, Delhi NCR
",28.6797667,77.060283,110041,50,"12,222",55,Owner,Deepak Mehra,15 to 20 years,,,West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,East Of Kailash,"East Of Kailash, New Delhi - South, Delhi NCR
",28.5583464,77.2530829,110065,450,"74,074",3000,Owner,Sanjay,15 to 20 years,"Ground (Out of 1 Floors)
",,South East Delhi,Delhi
,Residential,Sale,2 BHK Owner Residential House,Pitampura,"Pitampura, New Delhi - North, Delhi NCR
",28.6989703,77.1387225,110034,1000,"12,500",125,Owner,Kamalpreetkaur Bijjan,,"Ground (Out of 2 Floors)
",,North West Delhi,Delhi
,Residential,Sale,3 BHK Owner Residential House,"New Modern Shahdara, Shahdara","4649/23/2 Gali No.12 New Modern Shahdara, New Modern Shahdara, New Delhi - North, Delhi NCR
",28.6859560999999,77.3009350999999,110093,50,"1,10,000",55,Owner,Mithlesh Sharma,Less than 5 years,"Ground (Out of 1 Floors)
",,Shahdara,Delhi
,Residential,Sale,1 BHK Owner Residential House,Chhattarpur,"421/2 Near Durga Ashram Mandir, Next to Nanda Hospital, Chhattarpur, New Delhi - South, Delhi NCR
",28.495936,77.183922,110074,31,"10,753",30,Owner,Rakesh Vishwakarma,10 to 15 years,"1 (Out of 1 Floors)
",,South Delhi,Delhi
,Residential,Sale,5 BHK Owner Residential House,Rohini Sector 6,"A1/220., Sector 6 Rohini, New Delhi - Rohini, Delhi NCR
",28.7105098,77.1093278,110085,48,"25,160",130,Owner,k.l satwani,10 to 15 years,"1 (Out of 2 Floors)
",,North West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Vikaspuri Block G,"Vikaspuri Block G, New Delhi - West, Delhi NCR
",28.6386438,77.0720599999999,110018,2200,"5,454",120,Owner,Alexander John,Above 20 years,"2 (Out of 2 Floors)
",,West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,Rohini Sector 3,"G 30 house no 372., Sector 3 Rohini, New Delhi - Rohini, Delhi NCR
",28.7382676999999,77.0822151,110085,,"30,357",85,Owner,Amit,15 to 20 years,"4 (Out of 4 Floors)
",,North West Delhi,Delhi
,Residential,Sale,2 BHK Residential House - 53 Sq-ft,"DDA Pwd Flats,Madhu Vihar","C-15, Madhu Vihar-3, Near Government School, Madhu Vihar, New Delhi - West, Delhi NCR
",28.604184,77.0601389,110059,53,"66,037",35,Owner,Shashi Chauhan,5 to 10 years,"Ground (Out of 2 Floors)
",,West Delhi,Delhi
,Residential,Sale,4 BHK Owner Residential House,"South Extension 1, South Ex 1","South Extension 1, New Delhi - South, Delhi NCR
",28.5732907,77.2219418,110003,2000,"40,000",800,Owner,Deepak Talwar,,"2 (Out of 2 Floors)
",,South East Delhi,Delhi
